,name,Chain,project_category,num_category,business_id,postal_code,hours_avg
25,A & J Chicago Style Bar-B-Q,0,Bar,2,Ndozr_--5-wzyDJ2T7TfpQ,85016,0.0
26,A A Wok,0,Chinese,9,Mca0HEKs8Xfa4VimLD1uGQ,85032,0.0
27,A Bakeshop,0,Bakery,17,q4CjxLPsMCAPeST0lcQlOg,85016,6.857142857142857
28,A Slice of Bella,0,Pizza,5,EIb85lCA6HMzxdsacYtjGA,85044,10.857142857142858
29,A T Oasis Coffee & Tea Shop,0,Coffee,15,IhBiHpjqJP01qX1dCxG9-A,85018,12.357142857142858
30,A Touch of Yogurt,0,Ice Cream,12,6BjIGgxIkCks3NTpkj3fAw,85004,4.642857142857143
31,A&s Cactus Express,0,Other,1,BWgVrMV20K2o3pIH2Ff-Iw,85029,0.0
32,Abacus Inn Chinese Restaurant,0,Chinese,9,QyfX-6jFfINH1MuXS8R6ZA,85044,0.0
33,Abby's Grill-Cafe,0,Diner,10,xFX3mg1MGCV9AV45CDd6FA,85022,11.285714285714286
34,ABC Baking Cake Decorating Supplies,0,Bakery,17,zRK93KUNUSLWckxU611QNQ,85016,7.285714285714286
35,Abyssinia Restaurant and Cafe,0,Coffee,15,I9nziYEw4YIFjr3ZDBpFog,85014,11.571428571428571
36,Acacia Cafe,0,Breakfast,3,3_A59jPniLD5ViVuKMYpJw,85018,7.714285714285714
37,Adela's Italian,0,Italian,8,_e3rChyednoh47n2cjGv2w,85018,9.428571428571429
38,Admirals Club,0,Bar,2,eKwGIkeo6miVLcCzygtBjg,85034,20.0
39,Admirals Club,0,Bar,2,Z3dJG3W9xrxegM5j8ny74w,85034,18.0
40,Adobo Dragon,0,Mexican,0,k_SfP93Tmlpmx-5OL1JmTg,85004,6.571428571428571
41,Ahipoki - CityScape,0,Other,1,I1dZ6e1G4757Ll5CeE3Wdw,85004,10.25
42,Ahipoki Bowl,0,Other,1,PSY6Fpn6QRC-yWcz0Jnm1w,85016,10.25
43,Ahwatukee Country Club,0,Other,1,Q0HAhn2Pi2afILbtiPvlIQ,85044,12.0
44,Aiello's,0,Italian,8,vlJsF5tTfplbo1D5kbUPmQ,85012,9.857142857142858
45,Aiello's East Coast Italian,0,Italian,8,l0WauZ92kRg9bu2oxHj4TQ,85022,10.142857142857142
46,Aioli Gourmet Burgers,0,Burger,4,SvlTuwslYKdqvqWtDe2dgA,85028,9.285714285714286
47,Aioli Gourmet Burgers and Catering Food Truck,0,Burger,4,3BYLel7hPVEXzzVSHHEwHA,85028,9.285714285714286
48,Aishiteru Asian Bistro,0,Breakfast,3,q4i-kcryM2X8VXWQcGbiSw,85022,8.571428571428571
49,AJ's Fine Foods,0,Bar,2,lrfbOC8cbxc4NsguFeSjmw,85012,15.0
50,AJ's Purveyor of Fine Foods,0,Other,1,QMM5fh2x_sajRUmkbiKGpQ,85022,15.0
51,Al Aruba,0,Other,1,biPAbciX6zfsfmTDozFrIA,85008,6.0
52,Alaskan Pride Seafoods,0,Other,1,NL95JTNTh_gebXKSz2ElNg,85018,5.428571428571429
53,Alexi's Grill,0,Italian,8,VgfqjXetLMxn5X5_uomBkg,85012,8.0
54,Alfonso's Mexican Food,0,Mexican,0,fyFmamI9xY0_OOgH6tO3pg,85027,0.0
55,Alice Cooperstown,0,Bar,2,zrTGcb83AsfyVTMrsCa65A,85004,9.714285714285714
56,Alice's Cuisine,0,Deli,16,UX0Gp7fwXIaLjGS3aupV9Q,85027,14.428571428571429
57,All Stars Sports Bar,0,Bar,2,O45cN_WzbJfO5JhF4nPZvA,85034,0.0
58,Aloha Poki Company,0,Other,1,BAJTueyZYX91qWtMzFI2cw,85044,8.857142857142858
59,AmeriCAN Canned Craft Beer Fest,0,Bar,2,wPcj-wgz8UsDiG_I__wybw,85004,0.8571428571428571
60,America's Taco Shop,0,Mexican,0,_HVZ1V8IDa49MWdejx9BbA,85034,0.0
61,America's Taco Shop,0,Mexican,0,UJewG9UgVXQ7fyP4UHwnxw,85016,11.714285714285714
62,America's Taco Shop,0,Mexican,0,XuxKpCqnjpW_VPxSho4djQ,85004,0.0
63,AMF Squaw Peak Lanes,0,Other,1,6pXwPMO871ir8ZnmyBbLEg,85016,13.571428571428571
64,Ammaccapane's Restaurant & Sports Bar,0,Bar,2,AdB7a8eo7uK_Fq-aX6_l8g,85022,16.0
65,Amsterdam,0,Bar,2,57Ot-sRTzL925ipv-5SzTg,85004,0.0
66,Andy's Frozen Custard,0,Ice Cream,12,gio48on8yQyFW1fJ1dChGg,85044,12.642857142857142
67,Angelo's Italian Ice and Gelato,0,Ice Cream,12,4balGoT43o5N1zc8Q6dekg,85034,0.0
68,Angelo's Lounge,0,Bar,2,lIqazWWsskuh07n5By4zYQ,85016,0.0
69,Angels Trumpet Ale House,0,Bar,2,plWuv4gda7m0KlqCNhrb4w,85004,11.0
70,Angry Crab & BBQ,0,Bar,2,LHyj66waFlDcw9UToo27JQ,85016,11.285714285714286
71,Angry Crab Shack & BBQ - Ahwatukee,0,Bar,2,poSV39UqEg-gpESXafS9-g,85044,10.285714285714286
72,Antojos Y Neveria La Trampa,0,Bar,2,j54GyKYDKBdbZFdcLUXHJQ,85032,0.0
73,Anvil,0,Bar,2,Qy_HoQghOHgco-R904BCCw,85016,0.0
74,Anvil,0,Bar,2,35VxyqQnyK7ttzZZCHP9sA,85016,13.0
75,Anzios Italian Restaurant,0,Pizza,5,JBrBsKpw0bbXK5nlrXVOYQ,85029,10.285714285714286
76,Apna Bazaar Indian Groceries,0,Indian,18,E-DyJWXjao8lyTw3xvXY-Q,85032,10.0
77,Apollo's Lounge,0,Bar,2,UppDV-4p6M5z5xIv3pfROw,85014,17.428571428571427
78,Applebee's Neighborhood Grill & Bar,0,Burger,4,EE_CKAAq7_oL7jfxmUKhuw,85008,14.142857142857142
79,Applebee's Neighborhood Grill & Bar,0,Burger,4,5xCeuEI7Einoi5xYsNuDCQ,85012,14.142857142857142
80,Arby's,1,Burger,4,6QRY4tMQdHFOe2-_CUHMdA,85018,12.0
81,Arby's,1,Italian,8,wrcfLni9nmJK46Wb4XMkaQ,85032,0.0
82,Arby's,1,Sandwiches,13,bVl0_l6sCwjADKRLGxsXAw,85032,0.0
83,Arby's,1,Sandwiches,13,SLY4dDpyYJW003VCTnEReA,85022,0.0
84,Arby's,1,Sandwiches,13,EwldVuxL-KJaIxxi2FApNw,85027,0.0
85,Arcadia Farms Cafe,0,Other,1,crPt12dF0zMQiZ_nUAQvLg,85004,4.785714285714286
86,"Arcadia Farms, Heard Museum",0,Sandwiches,13,Wo6UYwShnJ83ibWSPefSgA,85004,0.0
87,Arcadia Tavern,0,Bar,2,l8k4gOEkfoLKq0mPVWHWGg,85018,12.142857142857142
88,Ariel's Grill Point,0,Coffee,15,MOTPFzYqWF2OYzJjs1h15Q,85022,7.857142857142857
89,Arizona Authentic Pizza,0,Other,1,j2tHMM_6Mrq2qqiAlcPfzA,85008,12.285714285714286
90,Arizona Baseball Club Restaurant,0,Other,1,6BSl6vLEyZvro_YIqorxEQ,85004,0.0
91,Arizona Biltmore,0,Other,1,v9u0NgjA4iQeKGevFnYSCA,85016,0.0
92,Arizona Biltmore Resort & Spa Catering,0,Other,1,Rk94R2M9CwIaYcQ02ow1AA,85016,0.0
93,Arizona Brewery Tours,0,Bar,2,letRlza38L86aafEaugsGA,85034,6.714285714285714
94,Arizona Club,0,Other,1,akySq01rZ2PRBBrafMfLuw,85004,0.0
95,Arizona Falls,0,Other,1,CfDHrCHi1-oJSKEemgeqrQ,85018,0.0
96,Arizona Party Bike - Phoenix,0,Bar,2,7YFn8Rye6ugSnjAwxZJMhA,85004,15.0
97,Arizona Sandwich,0,Sandwiches,13,LGji5xMcbBROPiip4mu_LQ,85034,8.5
98,Arlecchino Gelateria,0,Ice Cream,12,Us-H77wqsQHSWHQN6YANmQ,85018,8.571428571428571
99,Armadillo Grill,0,Bar,2,VbqtbvvtNOe-YKA61-fSNA,85016,15.0
100,Armando's Mexican Food,0,Mexican,0,NhGkSF9UB3hiDKUY9roHBg,85027,0.0
101,Armando's Mexican Food,0,Mexican,0,AfuYockOIOH9WsDJHRvVlA,85018,19.857142857142858
102,Aros Grill,0,Other,1,AfRHBRIh4ZuwLeoD2qEbbw,85022,0.0
103,Arriba Mexican Grill,0,Mexican,0,5KheTjYPu1HcQzQFtm4_vw,85016,12.142857142857142
104,Artizen,0,Bar,2,LIxNfkk9vgPikLh1W-5f8w,85016,14.0
105,Asadero Norte De Sonora,0,Mexican,0,UDucqwO8PwUOwcmUsJ-gOA,85034,10.285714285714286
106,Asahi Bakery,0,Bakery,17,hkmaUwfNQtFAJFpxYOHBkg,85016,5.357142857142857
107,ASAP California Pizza Kitchen,0,Pizza,5,p50v2vZMfRblLeFbdVcASA,85034,0.0
108,Asi Es La Vida,0,Mexican,0,y1VInN5m3RbHU59kiQbmxA,85016,10.785714285714286
109,Asian Dining Chinese Restaurant,0,Chinese,9,3Ru1_F8GoUcV-QwhX378hA,85008,11.428571428571429
110,Asian Seafood Buffet,0,Chinese,9,bxgrZLHU3R3dhDM32VXuGw,85008,0.0
111,Aside of Heart,0,Bar,2,htgL0zTIAekQpaWVBQcCWA,85004,7.714285714285714
112,Athenian Express,0,Sandwiches,13,bZj4UqBD4chWAvytPKGALA,85004,7.928571428571429
113,Athens Bar and Grill,0,Other,1,k3usuzYs_UVBkSgUbmthdQ,85014,8.571428571428571
114,Athens Pita & Greek Grill,0,Coffee,15,0KpoeCt1E-SQsUBwtjLAEw,85004,8.714285714285714
115,ATL Wings,0,Bar,2,K1qs4e30yoln6scnm-tmyg,85018,9.428571428571429
116,Aunt Chiladas Squaw Peak,0,Mexican,0,JfHXzulF6yIKgA22YYPedw,85020,11.571428571428571
117,Auntie Anne's,0,Other,1,8FtVVxG4ovmIlvOCtKziZw,85032,0.0
118,Autumn Court,0,Japanese,22,tDYcVluqZwieulc1iqxGXg,85018,11.0
119,Avanti,0,Italian,8,jOseCpGmgbQWEfX2Wn_TGQ,85016,9.285714285714286
120,Axis Hookah Lounge,0,Bar,2,JH1w3xJ-kXE-QPInOD9pTw,85032,12.0
121,AZ Cake Shoppe,0,Bakery,17,dqgbjvYl5-spb3yYXs83yg,85032,10.857142857142858
122,AZ Pops,0,Ice Cream,12,q0fX5CAXSURUOM_YDjHP3Q,85014,10.0
123,AZ Pops,0,Ice Cream,12,IRR0JWW-shnLZqRZ0IcMTA,85018,10.0
124,Babbo Italian Eatery,0,Pizza,5,CElwRv4CtK56NljAuCwepw,85016,10.285714285714286
125,Baby Kay's Cajun Kitchen,0,Other,1,acD0l-j5Kr-edoO-_tcbyg,85016,8.928571428571429
126,Bacchanal Ristorante,0,Other,1,B8y-FpC2lqNxd8xI7EJzlg,85016,0.0
127,Backstreet Wine Salon,0,Bar,2,Q6w2Hvctp68WdbvDLSW3-g,85018,0.0
128,Bailey's Pub,0,Bar,2,JWsukGGLg9n01Ejw1RKFTQ,85027,20.0
129,Baja Fresh,0,Mexican,0,iWzGOHoi83SXM43LcRS18w,85044,0.0
130,Baja Fresh Mexican Grill,0,Mexican,0,Tqk-TtGw0YjT_SrxsCPMxw,85022,8.857142857142858
131,Baja Fresh Mexican Grill,0,Mexican,0,oB2_XXYG9c8bgJL9sFP3DQ,85004,0.0
132,Baja Fresh Mexican Grill,0,Mexican,0,ELxoOY2F-1jSb8mqyN7Zbg,85016,0.0
133,Baja Fresh Mexican Grill Mexican Grill,0,Mexican,0,5rZxENz57t-SDv1tIS8lOg,85044,0.0
134,Baja Loco Mesquite Grill & Cantina,0,Mexican,0,NNi2hh7l5-fhjM3sF-ykxA,85018,0.0
135,Baja Red's Cantina,0,Bar,2,w8EtrFyt-GJq6tRXcArmng,85008,0.0
136,Balkan Bakery,0,Bakery,17,49a8mRB-MB-9JBEVjzK2BQ,85022,6.142857142857143
137,Bamboo China Restaurant,0,Chinese,9,rT8DwZu7pvuWKRM1nwVuug,85020,10.428571428571429
138,Bamboo Grille,0,Japanese,22,WWZgzuTn1k7Yn9bJ_Pr0Kg,85027,10.285714285714286
139,Bamboo House,0,Chinese,9,v1vcs-uSAQcjTFsHxS1dug,85022,9.857142857142858
140,Bar 1,0,Bar,2,5Q77B3p186bG1TSyyhSvDQ,85016,16.0
141,Bar Bianco,0,Bar,2,yz3JQk5Lqbin8mtNfDcy_w,85004,7.428571428571429
142,Bar Smith,0,Bar,2,M5jKFdL0vLcBzdPh-mLnAQ,85004,3.0714285714285716
143,Barb's Bakery,0,Bakery,17,9IaomgzTHXsNkZHnZGv8fg,85016,7.571428571428571
144,Barfly,0,Breakfast,3,C0KQ0fyGfDvKhw1FBgh1fg,85034,16.5
145,Barrio Avion,0,Mexican,0,PmQqj0wAnraXPuPSZCzEZQ,85034,15.0
146,Barrio Cafe,0,Mexican,0,of4V8nfW7GwJ03tLDdrOlA,85034,0.0
147,Barrio Cantina & Grill,0,Mexican,0,vY8-P5aeFO4xRoH_mUfQ9A,85032,12.428571428571429
148,Barrio Urbano,0,Mexican,0,c0F2t2j9MJ2gUBUPky-dqw,85014,13.142857142857142
149,Barro's Pizza,0,Pizza,5,4YKU46PNs-wCi3TAafrRaQ,85032,11.785714285714286
150,Barro's Pizza,0,Pizza,5,JlMTixvNQ5bUGSxF12TLdw,85027,11.785714285714286
151,Barro's Pizza,0,Pizza,5,7EtiFdHnoWwvC-8m8ixC1g,85022,11.785714285714286
152,Base Pizzeria,0,Pizza,5,WK6uBV2eSqb2wwEwXoFfNg,85016,9.285714285714286
153,Bashas',0,Other,1,yfMK1YGTDsiD-fE5JJtzWg,85028,17.0
154,Bashas',0,Other,1,kcvA7Dw8dp0XI7xLcwElYg,85044,17.0
155,Bashas',0,Other,1,YiN9YP4Z87hiaBkPFUWzOQ,85020,0.0
156,Basis New American,0,Other,1,P15Y-FxUOWjPVTrfiUpugg,85022,0.0
157,Baskin-Robbins,0,Ice Cream,12,s2xpXws-b-bSIpWIssvH8w,85032,11.0
158,Baskin-Robbins 31 Ice Cream Stores,0,Ice Cream,12,jBnI6d_T78im3PQLHQI_Lw,85018,0.0
159,Be Coffee + Food + Stuff,0,Breakfast,3,WB7346WSdkTHvtHfWPilaA,85004,11.214285714285714
160,Bean Sprouts Cafe,0,Bar,2,lYdSqzUmxYZc136Hyf-zSA,85004,0.0
161,Beckett's Table,0,Other,1,k1c_bC3DK6mKg797vH1T8w,85018,4.142857142857143
162,Beijing Garden Chinese,0,Chinese,9,_fTBHNW58xuw0MMbgZTz9w,85008,10.142857142857142
163,Belfiore's Italian Ristorante,0,Pizza,5,qVQGfHphxolps16v6g5X-g,85032,0.0
164,Below Freezing Thai Ice Cream Rolls,0,Ice Cream,12,Gyt7C9eD0Wj5fKazGlP_2g,85027,3.4285714285714284
165,Belvedere's,0,Breakfast,3,IR21NrXBSkOXSntPKtgEZg,85008,15.714285714285714
166,Beneficial Beans,0,Coffee,15,7aAg0v3vOw3N3KRNlS1_tg,85004,5.0
167,Berto's Gelato & Sorbet,0,Ice Cream,12,1jaJZ539aulplpOA9xAClg,85027,4.857142857142857
168,Best of Europe Meats & Deli,0,Sandwiches,13,l0rbgnvy2jSeUUEBUK4B8A,85032,5.0
169,Best of Philly,0,Sandwiches,13,GKg7N9i7djbigZ5fDj2DXw,85004,5.785714285714286
170,Bicycle Nomad,0,Bar,2,ewvBhAgfJi43aZmWCd3Zag,85004,9.428571428571429
171,Big Daddy's Sports Lounge,0,Pizza,5,NCc227GObIORVxUXs-KWvw,85020,15.0
172,Big Dawgs,0,Sandwiches,13,UW0ZvqEj7laMZVHjcwwc1w,85004,0.0
173,Big Guy's Sports Grill,0,Bar,2,gE07l6v5mp5TPM4awcm5Xg,85032,0.0
174,Bill Johnson's Big Apple Restaurants,0,Bar,2,w3JBz9gLbZ0CKWQM07nONw,85008,15.285714285714286
175,Binkley's Restaurant,0,Bar,2,X1-AbThDu9tmijcGnsi8Ug,85016,3.2857142857142856
176,Bink's Midtown,0,Other,1,xAg2w4pxJURbB2edAg2wMQ,85016,10.857142857142858
177,Biscuits,0,Burger,4,oi6mahpAmEuikfihFVDmCw,85044,7.857142857142857
178,Bistro 202,0,Other,1,y71Xmo4Bs5QLNv_6zFl98A,85004,10.071428571428571
179,Bistro 24,0,Other,1,BxwUDCVbBH0supUQ1wNslw,85016,12.5
180,Bite Cafe & Bakery,0,Coffee,15,saclk7OIubl0zzcXm3xlSg,85022,0.0
181,Black Forest Haus,0,Other,1,KBN8wcnBr9KRB4TPa0unsQ,85018,8.0
182,Black Forest Mill,0,Other,1,OVjBHE9Ic1vNuFJ6oXRq0Q,85018,0.0
183,Blanco Tacos + Tequila,0,Mexican,0,qnn9E-e9orYf_wK37yLTYw,85016,10.285714285714286
184,Blanco Tacos And Tequila,0,Mexican,0,I3STZd5iAvUL9MNLF_DUug,85034,12.0
185,Blaze Fast Fire'd Pizza,0,Pizza,5,ptWNY_h088kmKhsL-gaOEg,85022,11.5
186,Blaze Fast-Fire'd Pizza,0,Pizza,5,blGpsdNSyzIjfzLYILuZmQ,85012,11.0
187,Bleachers Sports Grill,0,Bar,2,F77NC8-iYUv7OI8SFWF_gQ,85044,15.0
188,Blimpie,0,Sandwiches,13,A5BiIK444PBb6FMOIxeEVg,85034,8.214285714285714
189,Blimpie,0,Sandwiches,13,hc78bF7jF1BY42F5yQjDDQ,85028,11.571428571428571
190,Blimpie,0,Sandwiches,13,duHFBe87uNSXImQmvBh87Q,85016,0.0
191,Blimpie,0,Sandwiches,13,48xqixi2cGozhxSiisOGiw,85012,7.142857142857143
192,Blimpie,0,Sandwiches,13,sU1sSEOHvd4ex72miOKMEQ,85008,4.357142857142857
193,Bliss Rebar,0,Bar,2,cz5vz-893D3LNH3TMQYR1w,85004,14.142857142857142
194,Bliss Showclub,0,Other,1,guh66RfoeapcI1AxtnlB0Q,85027,0.0
195,Blue Moon Sports Grill,0,Other,1,FDpHB2ran-gABhOmMCOEvw,85020,0.0
196,Blue Plate Brunchery,0,Breakfast,3,ekRY1NZnQ_0XPG4cediVlw,85022,0.0
197,Blue Saguaro Cafe,0,Coffee,15,laH5gNcV5N-3zHuQu-GEBg,85020,0.0
198,Blue Vapor Lounge,0,Bar,2,jbjB0D_jjfavLIhnNPYkhA,85032,10.571428571428571
199,Blue Willo Cafe,0,Sandwiches,13,IwdnNGKeGzSsswb50fUGEw,85012,0.0
200,Bobby C's Bar & Lounge,0,Other,1,qpq8KuMyPSwraUFfRVOMQg,85034,0.0
201,Bobby C's Cafe,0,Coffee,15,UV6f9hfEyxsGjUf4NCJxnw,85027,6.428571428571429
202,Bobby D's Restaurant & Lounge,0,Diner,10,oVmk03sRsExksDLkhIezHw,85020,15.571428571428571
203,Bobby Q - Biltmore,0,Bar,2,byWNAuUrvmGTLkbJpXe4iA,85016,11.714285714285714
204,Bodega 420,0,Other,1,c2C6TcNwnudSVEZ6w-jNHg,85004,12.5
205,Boka Pizza,0,Pizza,5,N_cCvYUP0dQeLKflgoUrXQ,85004,12.285714285714286
206,Bombay Spice Grill,0,Indian,18,tt1ERGD9RSfQIwX2ANyJ1g,85032,10.0
207,Bombay Spice Grill,0,Indian,18,kzqx6Z2sse8PV3hVCVEw4g,85028,10.071428571428571
208,Bomberos Cafe & Wine Bar,0,Bar,2,tcT3oHh_dwi_FYhozw3Ibw,85020,8.571428571428571
209,Bon Appetit Restaurant,0,Other,1,2kpbPYMjEbi-VIJ5mAOX0w,85014,0.0
210,Bonefish Grill,0,Other,1,RGGOEmgtKXXZI91IXHEuIA,85032,11.285714285714286
211,Bonjour Vietnam,0,Vietnamese,23,I2LcbNXGsMb6zxh4-gmVHw,85004,11.571428571428571
212,Bootleggers Modern American Smokehouse,0,Bar,2,2skQeu3C36VCiB653MIfrw,85028,11.0
213,BoSa Donuts,0,Breakfast,3,O8sBSjxL8hQbA41lKtcoJg,85028,18.0
214,BoSa Donuts,0,Sandwiches,13,lkpoSg7xf60BsrOjdm0CBA,85044,17.0
215,Boston Market,0,Other,1,XTmqUnO9FFbdbE4xL7Vhlw,85032,12.0
216,Boston Market,0,Other,1,UXqm21CiFIojOZdALb-AaA,85022,11.0
217,Boston Market,0,Bar,2,8vA1d9_w4hBjOcrM7mNWFg,85044,11.0
218,Bowl of Greens,0,Breakfast,3,PpN4wDnmMxA2vQoSyj1yKw,85004,9.285714285714286
219,Brad's Bodega,0,Other,1,max_MNcqrTvtvOzxfabJdg,85004,15.428571428571429
220,Brad's Place,0,Italian,8,p8qk36_xEXhICe91tfUpPA,85044,13.714285714285714
221,Breadcrafters Bakery & Cafe,0,Sandwiches,13,2zBCxn7_jHcfxoSjBdHJ3A,85032,11.0
222,Breakfast Club- CityScape,0,Diner,10,aMF8cG445ONPRKBsBYqofg,85004,8.714285714285714
223,Brennan's Pub & Grub,0,Bar,2,2OKh-3ToognFAccCFAFJVg,85032,15.0
224,Brick,0,Pizza,5,zOvZaiuzxUBzQE0Uecg-aw,85004,10.285714285714286
225,Brigett's Last Laugh,0,Pizza,5,avKtXuzalCP_cVfrk-fLeQ,85032,15.285714285714286
226,Brooklyn NYC Pizza,0,Pizza,5,4NpySSkznGaRVye30Pvdzg,85004,0.0
227,Brueggers Bagels,0,Breakfast,3,l2VC3UR7XnIwJwfIj1OPJg,85016,8.0
228,Bruegger's Bagels,0,Sandwiches,13,lpBXeNXqfKsNE8NY0aEEcg,85018,10.714285714285714
229,Bubba Phatz,0,Bar,2,1cl8ti5S8cJLHGetUe_s6w,85004,0.0
230,Buck & Rider,0,Bar,2,Ap17p-tA4Ipzy1s35DfCfg,85018,10.928571428571429
231,Buffalo Browns Wings and Things,0,Other,1,tnZ_qZtKcrCWXA8XUMRF-Q,85008,7.285714285714286
232,Bull Shooters,0,Bar,2,ZEkJ9E0WlvJmh1X0KxhXww,85029,15.428571428571429
233,Burger Betty's,0,Burger,4,XVj_qD6hz4OJprt1bOAjWA,85014,0.0
234,Burger King,1,Burger,4,vQ58sP3oipv3n5eGQHcnGg,85004,16.714285714285715
235,Burger King,1,Burger,4,5_MYcQWzKLiFYh0cUPrgNA,85016,15.857142857142858
236,Burger King,1,Burger,4,qbZ0Hjp-lUMtkGS_R1UnpQ,85008,0.0
237,Burger King,1,Burger,4,L98yev_7So-Tgx82IsjVeA,85029,0.0
238,Burger King,1,Burger,4,8jHr3atzErzItizENMkpzQ,85022,17.714285714285715
239,Burger King,1,Burger,4,ptUbbnxWgfgO9-0dFDnWmA,85034,17.642857142857142
240,Burger King,1,Burger,4,NbQHD6DVge3n-UvfYYNE_g,85020,15.857142857142858
241,Burger King,1,Burger,4,AO2ZY9we2ceRQI74cmLUYA,85022,0.0
242,Burger King,1,Burger,4,m-dhoSt3TrHh2N5yPzYnsg,85028,0.0
243,Burger King,1,Burger,4,LVF_M640eZdJN6wX12VrEQ,85004,0.0
244,Burger King,1,Burger,4,Y8rgiVhjpdbtcn83UVaVcg,85020,17.857142857142858
245,Burger King,1,Burger,4,Il21_URvlkQ89uUeGPGmaw,85029,0.0
246,Burger King,1,Burger,4,ZOg3fkp1xxPEe4v2nqhydQ,85044,0.0
247,Burger King,1,Burger,4,qLnFX5tyX6PUT9uW8z9t0g,85028,0.0
248,Burger King,1,Burger,4,tHaySMUc5u2a_71vfZG-0A,85034,0.0
249,Burger King,1,FastFood,11,GaYRUatPQi6PmJIE2wF-Uw,85032,0.0
250,Burger Rush,0,Burger,4,XbFVHYOv5MjoZcgz32Q19g,85012,17.0
251,Burger Studio,0,Burger,4,9Uju4PPwIKNrBUOfsjBbkw,85020,0.0
252,Burger Theory,0,Burger,4,sZq-qUvoLgYxlDmIcxYWDg,85008,18.0
253,Cactus Candy,0,Other,1,Zj5ogdJ1ci-J0xNxMiTRQw,85016,5.357142857142857
254,Cactus Jack's Bar & Grill,0,Bar,2,rBqek2924sBTjW1qE2ci2Q,85044,15.714285714285714
255,Cactus Tavern,0,Burger,4,dq4c_0btrrdcz_Nq6RV02g,85022,14.607142857142858
256,Cafe Rio,0,Mexican,0,ERM603jbIbNqX2c7Ww1Qiw,85028,11.857142857142858
257,Cafe Rio,0,Mexican,0,v0FdDAXvEYieRWcngbCe1Q,85027,12.0
258,Cafe Rio,0,Mexican,0,gLIXqQDeNjW4CR7x58orrw,85022,0.0
259,Cafe Rio,0,Mexican,0,JNG9jHOlE4Ilv02Tnlh7YA,85044,0.0
260,Cafe Rio Mexican Grill,0,Mexican,0,5sqC0kX6lBvKR983T_EBcg,85016,11.571428571428571
261,Cafe Roma,0,Pizza,5,J0rx5BsejdRTXU8UB-MJSA,85004,13.142857142857142
262,Cafe Roma,0,Italian,8,Q47FjaMLjI3v6yo-PHIebQ,85004,0.0
263,Cafe Zupas,0,Sandwiches,13,b5epWgPoVcXoMJdCCzFMUw,85016,8.857142857142858
264,Caffe Boa Ahwatukee,0,Italian,8,vrpW_ZIjHvsAX3ByyeHjCA,85044,9.571428571428571
265,Caffe Daniel,0,Italian,8,aVvMVhCSNT3d4W37Ue1aUw,85016,4.285714285714286
266,Cake Cafe,0,Bakery,17,86v_o9M5-_-EAVSRxPZTuQ,85044,0.0
